id_corrida,mecanismo,repeticion,tipo_manipulacion,eventos_totales,manipulaciones_inyectadas,manipulaciones_detectadas,tasa_deteccion_pct,tiempo_verificacion_ms,latencia_registro_ms,estado
179,M1,6,T4,60,1,0,0.0,0.465,4.492,NO_DETECTADO
180,M1,6,T5,49,1,0,0.0,0.55,3.96,NO_DETECTADO
181,M1,7,T1,59,1,0,0.0,0.316,3.92,NO_DETECTADO
182,M1,7,T2,49,1,0,0.0,0.364,3.863,NO_DETECTADO
183,M1,7,T3,45,1,0,0.0,0.467,4.031,NO_DETECTADO
184,M1,7,T4,52,1,0,0.0,0.486,8.136,NO_DETECTADO
185,M1,7,T5,58,1,0,0.0,0.205,5.611,NO_DETECTADO
186,M1,8,T1,57,1,0,0.0,0.586,4.134,NO_DETECTADO
187,M1,8,T2,50,1,0,0.0,0.533,5.077,NO_DETECTADO
188,M1,8,T3,47,1,0,0.0,0.517,4.631,NO_DETECTADO
189,M1,8,T4,50,1,0,0.0,0.393,4.228,NO_DETECTADO
190,M1,8,T5,49,1,0,0.0,0.44,4.179,NO_DETECTADO
191,M1,9,T1,54,1,0,0.0,0.304,3.807,NO_DETECTADO
192,M1,9,T2,59,1,0,0.0,0.56,5.253,NO_DETECTADO
193,M1,9,T3,59,1,0,0.0,0.547,4.423,NO_DETECTADO
194,M1,9,T4,54,1,0,0.0,0.505,3.82,NO_DETECTADO
195,M1,9,T5,54,1,0,0.0,0.536,5.797,NO_DETECTADO
196,M1,10,T1,61,1,0,0.0,0.374,6.118,NO_DETECTADO
197,M1,10,T2,50,1,0,0.0,0.26,5.21,NO_DETECTADO
198,M1,10,T3,57,1,0,0.0,0.277,3.995,NO_DETECTADO
199,M1,10,T4,63,1,0,0.0,0.384,4.773,NO_DETECTADO
200,M1,10,T5,47,1,0,0.0,0.395,4.457,NO_DETECTADO
201,M1,11,T1,62,1,0,0.0,0.34,4.054,NO_DETECTADO
202,M1,11,T2,60,1,0,0.0,0.317,4.191,NO_DETECTADO
203,M1,11,T3,47,1,0,0.0,0.235,4.899,NO_DETECTADO
204,M1,11,T4,49,1,0,0.0,0.317,4.153,NO_DETECTADO
205,M1,11,T5,56,1,0,0.0,0.595,4.051,NO_DETECTADO
206,M1,12,T1,50,1,0,0.0,0.572,7.087,NO_DETECTADO
207,M1,12,T2,53,1,0,0.0,0.33,4.432,NO_DETECTADO
208,M1,12,T3,52,1,0,0.0,0.53,4.687,NO_DETECTADO
209,M1,12,T4,52,1,0,0.0,0.58,4.416,NO_DETECTADO
210,M1,12,T5,58,1,0,0.0,0.488,4.674,NO_DETECTADO
211,M1,13,T1,54,1,0,0.0,0.36,4.522,NO_DETECTADO
212,M1,13,T2,46,1,0,0.0,0.474,4.718,NO_DETECTADO
213,M1,13,T3,65,1,0,0.0,0.203,4.308,NO_DETECTADO
214,M1,13,T4,65,1,0,0.0,0.528,4.228,NO_DETECTADO
215,M1,13,T5,55,1,0,0.0,0.435,4.114,NO_DETECTADO
216,M1,14,T1,56,1,0,0.0,0.468,4.702,NO_DETECTADO
217,M1,14,T2,65,1,0,0.0,0.566,4.872,NO_DETECTADO
218,M1,14,T3,62,1,0,0.0,0.329,4.347,NO_DETECTADO
219,M1,14,T4,45,1,0,0.0,0.422,4.18,NO_DETECTADO
220,M1,14,T5,54,1,0,0.0,0.517,4.611,NO_DETECTADO
221,M1,15,T1,48,1,0,0.0,0.586,4.4,NO_DETECTADO
222,M1,15,T2,45,1,0,0.0,0.535,4.688,NO_DETECTADO
223,M1,15,T3,50,1,0,0.0,0.324,4.039,NO_DETECTADO
224,M1,15,T4,57,1,0,0.0,0.458,4.158,NO_DETECTADO
225,M1,15,T5,59,1,0,0.0,0.2,4.655,NO_DETECTADO
226,M1,16,T1,57,1,0,0.0,0.551,4.321,NO_DETECTADO
227,M1,16,T2,60,1,0,0.0,0.588,4.242,NO_DETECTADO
228,M1,16,T3,60,1,0,0.0,0.575,4.489,NO_DETECTADO
229,M1,16,T4,57,1,0,0.0,0.441,7.915,NO_DETECTADO
230,M1,16,T5,46,1,0,0.0,0.574,4.313,NO_DETECTADO
231,M1,17,T1,52,1,0,0.0,0.595,5.413,NO_DETECTADO
232,M1,17,T2,45,1,0,0.0,0.554,4.09,NO_DETECTADO
233,M1,17,T3,60,1,0,0.0,0.225,4.376,NO_DETECTADO
234,M1,17,T4,59,1,0,0.0,0.247,4.475,NO_DETECTADO
235,M1,17,T5,57,1,0,0.0,0.359,4.124,NO_DETECTADO
236,M1,18,T1,60,1,0,0.0,0.409,4.143,NO_DETECTADO
237,M1,18,T2,51,1,0,0.0,0.562,5.12,NO_DETECTADO
238,M1,18,T3,60,1,0,0.0,0.599,4.502,NO_DETECTADO
239,M1,18,T4,54,1,0,0.0,0.567,4.225,NO_DETECTADO
240,M1,18,T5,58,1,0,0.0,0.584,4.496,NO_DETECTADO
241,M1,19,T1,56,1,0,0.0,0.52,3.812,NO_DETECTADO
242,M1,19,T2,55,1,0,0.0,0.328,4.783,NO_DETECTADO
243,M1,19,T3,53,1,0,0.0,0.314,4.107,NO_DETECTADO
244,M1,19,T4,58,1,0,0.0,0.218,4.698,NO_DETECTADO
245,M1,19,T5,46,1,0,0.0,0.217,5.906,NO_DETECTADO
246,M1,20,T1,55,1,0,0.0,0.434,4.606,NO_DETECTADO
247,M1,20,T2,64,1,0,0.0,0.501,5.668,NO_DETECTADO
248,M1,20,T3,64,1,0,0.0,0.215,5.113,NO_DETECTADO
249,M1,20,T4,51,1,0,0.0,0.352,3.82,NO_DETECTADO
250,M1,20,T5,47,1,0,0.0,0.547,4.184,NO_DETECTADO
251,M1,21,T1,50,1,0,0.0,0.201,3.809,NO_DETECTADO
252,M1,21,T2,45,1,0,0.0,0.313,4.99,NO_DETECTADO
253,M1,21,T3,45,1,0,0.0,0.287,5.956,NO_DETECTADO
254,M1,21,T4,60,1,0,0.0,0.215,3.956,NO_DETECTADO
255,M1,21,T5,48,1,0,0.0,0.517,4.168,NO_DETECTADO
256,M1,22,T1,45,1,0,0.0,0.321,4.953,NO_DETECTADO
257,M1,22,T2,61,1,0,0.0,0.27,3.866,NO_DETECTADO
258,M1,22,T3,55,1,0,0.0,0.538,4.044,NO_DETECTADO
259,M1,22,T4,53,1,0,0.0,0.466,4.029,NO_DETECTADO
260,M1,22,T5,51,1,0,0.0,0.54,3.904,NO_DETECTADO
261,M1,23,T1,48,1,0,0.0,0.577,4.112,NO_DETECTADO
262,M1,23,T2,52,1,0,0.0,0.373,4.014,NO_DETECTADO
263,M1,23,T3,63,1,0,0.0,0.381,4.193,NO_DETECTADO
264,M1,23,T4,57,1,0,0.0,0.594,4.242,NO_DETECTADO
265,M1,23,T5,52,1,0,0.0,0.281,6.207,NO_DETECTADO
266,M1,24,T1,60,1,0,0.0,0.301,3.977,NO_DETECTADO
267,M1,24,T2,46,1,0,0.0,0.443,4.471,NO_DETECTADO
268,M1,24,T3,54,1,0,0.0,0.523,4.189,NO_DETECTADO
269,M1,24,T4,65,1,0,0.0,0.333,4.541,NO_DETECTADO
270,M1,24,T5,54,1,0,0.0,0.587,3.802,NO_DETECTADO
271,M1,25,T1,59,1,0,0.0,0.417,5.02,NO_DETECTADO
272,M1,25,T2,62,1,0,0.0,0.537,4.113,NO_DETECTADO
273,M1,25,T3,47,1,0,0.0,0.256,4.592,NO_DETECTADO
274,M1,25,T4,55,1,0,0.0,0.477,4.897,NO_DETECTADO
275,M1,25,T5,54,1,0,0.0,0.343,4.067,NO_DETECTADO
276,M1,26,T1,54,1,0,0.0,0.218,4.78,NO_DETECTADO
277,M1,26,T2,56,1,0,0.0,0.237,3.863,NO_DETECTADO
278,M1,26,T3,59,1,0,0.0,0.453,4.187,NO_DETECTADO
279,M1,26,T4,60,1,0,0.0,0.437,4.672,NO_DETECTADO
280,M1,26,T5,64,1,0,0.0,0.387,3.947,NO_DETECTADO
281,M1,27,T1,57,1,0,0.0,0.415,3.802,NO_DETECTADO
282,M1,27,T2,45,1,0,0.0,0.409,5.193,NO_DETECTADO
283,M1,27,T3,57,1,0,0.0,0.35,4.95,NO_DETECTADO
284,M1,27,T4,46,1,0,0.0,0.362,4.873,NO_DETECTADO
285,M1,27,T5,54,1,0,0.0,0.232,4.563,NO_DETECTADO
286,M1,28,T1,65,1,0,0.0,0.229,3.801,NO_DETECTADO
287,M1,28,T2,63,1,0,0.0,0.436,4.159,NO_DETECTADO
288,M1,28,T3,51,1,0,0.0,0.455,4.277,NO_DETECTADO
289,M1,28,T4,54,1,0,0.0,0.578,3.837,NO_DETECTADO
290,M1,28,T5,62,1,0,0.0,0.446,3.814,NO_DETECTADO
291,M1,29,T1,59,1,0,0.0,0.234,4.047,NO_DETECTADO
292,M1,29,T2,51,1,0,0.0,0.369,4.02,NO_DETECTADO
293,M1,29,T3,64,1,0,0.0,0.208,4.168,NO_DETECTADO
294,M1,29,T4,56,1,0,0.0,0.419,4.02,NO_DETECTADO
295,M1,29,T5,52,1,0,0.0,0.481,4.722,NO_DETECTADO
296,M1,30,T1,59,1,0,0.0,0.497,4.533,NO_DETECTADO
297,M1,30,T2,61,1,0,0.0,0.417,4.87,NO_DETECTADO
298,M1,30,T3,58,1,0,0.0,0.592,3.859,NO_DETECTADO
299,M1,30,T4,47,1,0,0.0,0.561,4.397,NO_DETECTADO
300,M1,30,T5,52,1,0,0.0,0.498,3.872,NO_DETECTADO
301,M2,1,T1,62,1,1,100.0,2.26,7.422,DETECTADO
302,M2,1,T2,51,1,1,100.0,2.418,6.674,DETECTADO
303,M2,1,T3,55,1,1,100.0,2.621,6.487,DETECTADO
304,M2,1,T4,55,1,1,100.0,1.829,7.043,DETECTADO
305,M2,1,T5,59,1,1,100.0,2.99,7.187,DETECTADO
306,M2,2,T1,59,1,1,100.0,2.362,6.564,DETECTADO
307,M2,2,T2,47,1,1,100.0,3.456,6.499,DETECTADO
308,M2,2,T3,54,1,1,100.0,2.757,6.477,DETECTADO
309,M2,2,T4,65,1,1,100.0,1.898,8.369,DETECTADO
310,M2,2,T5,65,1,1,100.0,2.912,6.471,DETECTADO
311,M2,3,T1,46,1,1,100.0,3.291,7.164,DETECTADO
312,M2,3,T2,62,1,1,100.0,3.718,6.588,DETECTADO
313,M2,3,T3,57,1,1,100.0,3.658,8.779,DETECTADO
314,M2,3,T4,56,1,1,100.0,1.804,7.711,DETECTADO
315,M2,3,T5,56,1,1,100.0,1.898,7.126,DETECTADO
316,M2,4,T1,53,1,1,100.0,3.405,6.557,DETECTADO
317,M2,4,T2,53,1,1,100.0,3.781,6.968,DETECTADO
318,M2,4,T3,46,1,1,100.0,2.699,6.605,DETECTADO
319,M2,4,T4,55,1,1,100.0,1.999,6.81,DETECTADO
320,M2,4,T5,47,1,1,100.0,3.125,6.461,DETECTADO
321,M2,5,T1,48,1,1,100.0,3.03,6.526,DETECTADO
322,M2,5,T2,51,1,1,100.0,3.947,7.845,DETECTADO
323,M2,5,T3,54,1,1,100.0,3.336,6.891,DETECTADO
324,M2,5,T4,52,1,1,100.0,3.524,6.957,DETECTADO
325,M2,5,T5,51,1,1,100.0,2.803,7.103,DETECTADO
326,M2,6,T1,54,1,1,100.0,2.561,6.457,DETECTADO
327,M2,6,T2,47,1,1,100.0,2.572,6.491,DETECTADO
328,M2,6,T3,56,1,1,100.0,4.011,6.661,DETECTADO
329,M2,6,T4,56,1,1,100.0,1.889,8.057,DETECTADO
330,M2,6,T5,63,1,1,100.0,2.746,6.478,DETECTADO
331,M2,7,T1,62,1,1,100.0,3.26,7.184,DETECTADO
332,M2,7,T2,56,1,1,100.0,1.828,6.994,DETECTADO
333,M2,7,T3,53,1,1,100.0,2.488,8.371,DETECTADO
334,M2,7,T4,59,1,1,100.0,2.403,6.665,DETECTADO
335,M2,7,T5,48,1,1,100.0,4.038,7.099,DETECTADO
336,M2,8,T1,59,1,1,100.0,1.849,6.512,DETECTADO
337,M2,8,T2,60,1,1,100.0,3.904,6.46,DETECTADO
338,M2,8,T3,47,1,1,100.0,2.497,6.745,DETECTADO
339,M2,8,T4,54,1,1,100.0,3.182,6.474,DETECTADO
340,M2,8,T5,48,1,1,100.0,1.808,6.5,DETECTADO
341,M2,9,T1,46,1,1,100.0,3.114,8.272,DETECTADO
342,M2,9,T2,52,1,1,100.0,4.038,7.085,DETECTADO
343,M2,9,T3,55,1,1,100.0,2.527,7.862,DETECTADO
344,M2,9,T4,59,1,1,100.0,4.061,8.149,DETECTADO
345,M2,9,T5,60,1,1,100.0,2.996,7.432,DETECTADO
346,M2,10,T1,56,1,1,100.0,2.661,6.779,DETECTADO
347,M2,10,T2,56,1,1,100.0,2.249,6.749,DETECTADO
348,M2,10,T3,57,1,1,100.0,4.114,11.762,DETECTADO
349,M2,10,T4,52,1,1,100.0,2.632,7.045,DETECTADO
350,M2,10,T5,62,1,1,100.0,4.041,7.727,DETECTADO
351,M2,11,T1,57,1,1,100.0,3.771,7.845,DETECTADO
352,M2,11,T2,65,1,1,100.0,3.503,7.958,DETECTADO
353,M2,11,T3,60,1,1,100.0,3.686,7.582,DETECTADO
354,M2,11,T4,47,1,1,100.0,2.312,7.296,DETECTADO
355,M2,11,T5,65,1,1,100.0,2.258,7.879,DETECTADO
356,M2,12,T1,64,1,1,100.0,2.572,8.131,DETECTADO
357,M2,12,T2,59,1,1,100.0,4.009,6.895,DETECTADO
358,M2,12,T3,49,1,1,100.0,2.221,7.388,DETECTADO
359,M2,12,T4,56,1,1,100.0,3.892,6.762,DETECTADO
360,M2,12,T5,64,1,1,100.0,3.214,6.804,DETECTADO
361,M2,13,T1,47,1,1,100.0,2.194,6.466,DETECTADO
362,M2,13,T2,58,1,1,100.0,3.631,8.988,DETECTADO
363,M2,13,T3,54,1,1,100.0,3.458,7.247,DETECTADO
364,M2,13,T4,46,1,1,100.0,2.528,6.552,DETECTADO
365,M2,13,T5,46,1,1,100.0,4.038,8.856,DETECTADO
